genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Thriller, Crime",revenge drifter virginia character study neo-noir,en,The quiet life of a beach bum is upended by dreadful news. He sets off for his childhood home to carry out an act of vengeance but proves an inept assassin and finds himself in a brutal fight to protect his estranged family.,"Film Science, The Lab Of Madness, Neighborhood Watch, Paradise City",90,Blue Ruin,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb",Jeremy Saulnier
"Mystery, Horror",haunting psychic entity demonic possession found footage,en,"After a young, middle class couple moves into a suburban 'starter' tract house, they become increasingly disturbed by a presence that may or may not be somehow demonic but is certainly most active in the middle of the night. Especially when they sleep. Or try to.","Blumhouse Productions, Solana Films",86,Paranormal Activity,"Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong, Ashley Palmer",Oren Peli
Documentary,skateboarding independent film,en,Dogtown and Z-Boys follows the evolution of skateboarding from the 60's and into the late 70's as skateboarding's california beach boy image is transformed into a low-riding surf oriented style.,"Agi Orsi Productions, Vans Off the Wall",91,Dogtown and Z-Boys,"Sean Penn, Jay Adams, Henry Rollins, Steve Caballero, Tony Hawk",Stacy Peralta
"Adventure, Fantasy, Comedy",holy grail monk scotland yard swordplay camelot,en,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","Python (Monty) Pictures Limited, Michael White Productions, National Film Trustee Company, Twickenham Film Studios",91,Monty Python and the Holy Grail,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones",Terry Gilliam
"Documentary, History",woman director,en,"The 1967 'Six-Day' war ended with Israel's decisive victory; conquering Jerusalem, Gaza, Sinai and the West Bank. It is a war portrayed, to this day, as a righteous undertaking - a radiant emblem of Jewish pride. One week after the war, a group of young kibbutzniks, led by renowned author Amos Oz, recorded intimate conversations with soldiers returning from the battlefield. The recording revealed an honest look at the moment Israel turned from David to Goliath. The Israeli army censored the recordings, allowing the kibbutzniks to publish only a fragment of the conversations. 'Censored Voices' reveals the original recordings for the first time.",kNow Productions,84,Censored Voices,Amos Oz,Mor Loushy
Drama,male nudity female nudity hostage paranoia dysfunctional family,el,"Three teenagers are confined to an isolated country estate that could very well be on another planet. The trio spend their days listening to endless homemade tapes that teach them a whole new vocabulary. Any word that comes from beyond their family abode is instantly assigned a new meaning. Hence 'the sea' refers to a large armchair and 'zombies' are little yellow flowers. Having invented a brother whom they claim to have ostracized for his disobedience, the uber-controlling parents terrorize their offspring into submission.","Greek Film Center, Boo Productions, Horsefly Productions",94,Dogtooth,"Hristos Passalis, Angeliki Papoulia, Mary Tsoni, Christos Stergioglou, Michele Valley",Yorgos Lanthimos
"Documentary, Music",rap music hip-hop blunt woman director,en,"Home movies, photographs, and recited poetry illustrate the life of Tupac Shakur, one of the most beloved, revolutionary, and volatile hip-hop MCs of all time.","Paramount Pictures, MTV Films",112,Tupac: Resurrection,"Tupac Amaru, Shakur",Lauren Lazin
"Comedy, Drama",sex thanksgiving road trip love independent film,en,"Quirky and rebellious April Burns lives with her boyfriend in a low-rent New York City apartment miles away from her emotionally distant family. But when she discovers that her mother has a fatal form of breast cancer, she invites the clan to her place for Thanksgiving. While her father struggles to drive her family into the city, April -- an inexperienced cook -- runs into kitchen trouble and must ask a neighbor for help.","Kalkaska Productions, IFC Productions",81,Pieces of April,"Katie Holmes, Derek Luke, Patricia Clarkson, Oliver Platt, Alison Pill",Peter Hedges
"Thriller, Horror, Drama",terror anthology suspense,en,"The story of Skip, a young ex-convict who takes a position as a night janitor at an old-west theme park. His supervisor Archie, teaches him the ropes, but more importantly attempts to convey critical philosophical messages through a series of four stories: a down and out boxer is given the opportunity to become a real golden gloves killer; an assassin kidnaps three people in order to find out who hired him for his latest hit; a new recruit is initiated into a lodge of fez-wearing businessmen where hazing can take a malevolent turn; and a member of a suicide club introduces real fear into a man about to jump to his death.",,90,Locker 13,"Ricky Schroder, Jon Gries, Tatyana Ali, Jason Marsden, Rick Hoffman",Jason Marsden
"Romance, Comedy, Drama",new jersey coming out love of one's life bisexuality menage a trois,en,"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.","Miramax Films, View Askew Productions",113,Chasing Amy,"Ben Affleck, Joey Lauren, Adams Jason, Lee Dwight, Ewell Jason, Mewes",Kevin Smith
"Romance, Drama",chair customs student visa parents blogger,en,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.","Paramount Vantage, Andrea Sperling Productions, Indian Paintbrush, Super Crispy Entertainment, Ascension Productions",90,Like Crazy,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston",Drake Doremus
"Thriller, Drama",sex adultery jealousy nudity seduction,en,"The discovery of an illicit love affair leads two young Angelenos on a violent, sexually charged tour through the dark side of human nature.","Filmworks/FX, Prettybird, Post Empire Films, Sodium Fox",99,The Canyons,"Lindsay Lohan, James Deen, Gus Van, Sant Nolan, Gerard Funk, Amanda Brooks",Paul Schrader
Drama,prison drug dealer single mother teenage pregnancy woman director,en,"Follows the choices made by three young women - one a drug dealer, one an addict, one a pregnant teen - in Jersey City.","Youth House Productions, Fader Films",86,On the Outs,"Judy Marte, Paola Mendoza, Flaco Navaja, Dominic Colón, Edward O'Blenis",Lori Silverbush
"Thriller, Drama",brother brother relationship loss of father arkansas,en,"Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these brothers discover the lengths to which each will go to protect their family.","Upload Films, Muskat Filmed Properties, A Lucky Old Sun Production",92,Shotgun Stories,"Michael Shannon, Glenda Pannell, Lynnsee Provence, Douglas Ligon, Barlow Jacobs",Jeff Nichols
"Thriller, Mystery",gun room suspicion guard pill,en,The final candidates for a highly desirable corporate job are locked together in an exam room and given a test so simple and confusing that tension begins to unravel.,"Hazeldine Films, Bedlam Productions",101,Exam,"Luke Mably, Adar Beck, Chris Carey, Gemma Chan, Nathalie Cox",Stuart Hazeldine
Music,high school woman director,en,Two competing groups of high school students must rally together and enter a song and dance competition in order to save their church from closing.,"The Asylum, Asylum",93,Sunday School Musical,"Chris Chatman, Candise Lakota, Krystle Connor, Robert Acinapura, Amy Ganser",Rachel Goldenberg
Documentary,helping animals,en,Give Me Shelter is a documentary to raise awareness for important animal issues around the world. This film uncovers the most prevalent issues in the animal world through the eyes of individuals dedicating their lives to them daily.,,90,Give Me Shelter,"Katie Cleary, Robert Davi, Carole Davis, Alison Eastwood, Tippi Hedren",Kristin Rizzo
"Action, Crime, Drama",prison isolation,en,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.","EM Media, Aramid Entertainment Fund, Vertigo Films, Str8jacket Creations, 4DH Films, Perfume Films",92,Bronson,"Tom Hardy, Matt King, James Lance, Kelly Adams, Katy Barker",Nicolas Winding Refn
"Documentary, Foreign",michigan crisis fire fighting detroit woman director,en,"A character-driven, action-packed documentary about Detroit, told through the eyes of the Detroit firefighters, the men and women charged with the thankless task of saving a city that many have written off as dead.",Apostle Productions,86,Burn,"Donald Austin, Brendan ""Doogie"", Milewski Dave, Parnell",Tom Putnam
Drama,family's daily life bible platonic love hope church service,en,"Everything can change in an instant ... and take a lifetime to unravel. When Mac McDonald loses his son in an accident, the ensuing 17 years of bitterness and pain erodes his love for his family and leaves him angry with God ... and just about everyone else. Mac's rage stonewalls his career in the police department and makes for a combustible situation when he's partnered with Sam Wright, a rising star on the force who happens to be a part-time pastor and a loving family man. Can they somehow join forces to help one another when it's impossible for either of them to look past their differences-especially the most obvious one? Every day, we have the opportunity to rebuild relationships and heal deep wounds by extending and receiving God's grace. Offer THE GRACE CARD ... and never underestimate the power of God's love.",GraceWorks Pictures,101,The Grace Card,"Michael Joiner, Michael Higgenbottom, Louis Gossett,, Jr. Cindy, Hodge",David Evans 
"Thriller, Horror, Crime",hostage psychopath abandoned house serial killer slasher,en,"It's ten years after the kidnapping of Martin Bristol. Taken from a backyard swing at his home at the age of six, he is forced to witness unspeakable crimes of a deranged madman. For years, Martin's whereabouts have remained a mystery...until now.",,90,Malevolence,"Samantha Dark, Heather Magee, Richard Glover, R. Brandon, Johnson",Stevan Mena
